2022-05-15 12:05:189 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 12:05:168 INFO  HomePage :37 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (cd3aa304ce032b403918ff3574c8a1cb)] -> link text: Log in]
2022-05-15 12:05:198 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (cd3aa304ce032b403918ff3574c8a1cb)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 13:05:506 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:818 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (6429f1ba7635d27efdfb26a1a7885d0d)] -> link text: Log in]
2022-05-15 13:05:876 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (6429f1ba7635d27efdfb26a1a7885d0d)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 13:05:569 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:678 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a75669edd9c48fe4ec886d19d6763a12)] -> link text: Log in]
2022-05-15 13:05:752 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a75669edd9c48fe4ec886d19d6763a12)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 13:05:910 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:583 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d3a59a35e978dab20d0541311376f254)] -> link text: Log in]
2022-05-15 13:05:386 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:22 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8b86f4ba954579bd2f31072ef0e67f1b)] -> link text: Log in]
2022-05-15 13:05:599 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:371 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (dba429d95ea877f0e8b87adffbd8697f)] -> link text: Log in]
2022-05-15 13:05:156 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:374 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (8b6083aa311458905dc530e81df8678b)] -> link text: Log in]
2022-05-15 13:05:50 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:750 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:684 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (faacc5787392e05448dcc60a10f185d7)] -> link text: Log in]
2022-05-15 13:05:255 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:595 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b03c61baec8343145cecd6b9433ffdaa)] -> link text: Log in]
2022-05-15 13:05:636 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:238 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (57b003f7bc7f75bf437ec7c87c9d0326)] -> link text: Log in]
2022-05-15 13:05:844 INFO  HomePage :60 - clicking on logout link :[[ChromeDriver: chrome on WINDOWS (57b003f7bc7f75bf437ec7c87c9d0326)] -> xpath: //a[normalize-space()='Log out']]
2022-05-15 13:05:926 INFO  HomePage :65 - verify loginLink is displayed :[[ChromeDriver: chrome on WINDOWS (57b003f7bc7f75bf437ec7c87c9d0326)] -> link text: Log in]
2022-05-15 13:05:770 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:489 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (5d8ce5582f4abfbd68a28f4dfaef0431)] -> link text: Log in]
2022-05-15 13:05:531 INFO  LoginPage :44 - Getting text from : [[ChromeDriver: chrome on WINDOWS (5d8ce5582f4abfbd68a28f4dfaef0431)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 13:05:483 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:709 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (b001dd52b90fd7285affc085698c3624)] -> link text: Log in]
2022-05-15 13:05:478 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:408 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (4a9a583709d0d06b6957ff03dca6c116)] -> link text: Log in]
2022-05-15 13:05:80 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:913 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (957eae51a2b633832db620f650a68e69)] -> link text: Log in]
2022-05-15 13:05:505 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:40 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (2ed4baf571943314d4ae9fa4a5dd9048)] -> link text: Log in]
2022-05-15 13:05:600 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 13:05:801 INFO  HomePage :41 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d7ce57bdd4d6ef94d49e12e211dafe0a)] -> link text: Log in]
2022-05-15 13:05:345 INFO  HomePage :60 - clicking on logout link :[[ChromeDriver: chrome on WINDOWS (d7ce57bdd4d6ef94d49e12e211dafe0a)] -> xpath: //a[normalize-space()='Log out']]
2022-05-15 13:05:438 INFO  HomePage :65 - verify loginLink is displayed :[[ChromeDriver: chrome on WINDOWS (d7ce57bdd4d6ef94d49e12e211dafe0a)] -> link text: Log in]
2022-05-15 14:05:124 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 14:05:64 INFO  HomePage :46 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (2156dc3ebee0d6ffe6e13a79a7e4fd46)] -> link text: Register]
2022-05-15 14:05:365 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 14:05:919 INFO  HomePage :46 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (f63275249f68f8a7cf25c8933df18aa5)] -> link text: Register]
2022-05-15 16:05:592 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:653 INFO  HomePage :46 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (4ceccf87cd66fea8a17c52c60beadf53)] -> link text: Register]
2022-05-15 16:05:757 INFO  LoginPage :49 - verify firstname is required error message :[[ChromeDriver: chrome on WINDOWS (4ceccf87cd66fea8a17c52c60beadf53)] -> xpath: //span[@id='FirstName-error']]
2022-05-15 16:05:861 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:176 INFO  HomePage :46 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (9839859c824716de690b326acfa8c8d5)] -> link text: Register]
2022-05-15 16:05:260 INFO  LoginPage :49 - verify firstname is required error message :[[ChromeDriver: chrome on WINDOWS (9839859c824716de690b326acfa8c8d5)] -> xpath: //span[@id='FirstName-error']]
2022-05-15 16:05:113 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-15 16:05:541 INFO  HomePage :46 - Clicking on register link : [[ChromeDriver: chrome on WINDOWS (0c74c50e6ebfd5a7e5418dacaa392059)] -> link text: Register]
2022-05-15 16:05:625 INFO  LoginPage :49 - verify firstname is required error message :[[ChromeDriver: chrome on WINDOWS (0c74c50e6ebfd5a7e5418dacaa392059)] -> xpath: //span[@id='FirstName-error']]
2022-05-15 16:05:660 INFO  LoginPage :53 - verifying lastname is required error message :[[ChromeDriver: chrome on WINDOWS (0c74c50e6ebfd5a7e5418dacaa392059)] -> xpath: //span[@id='LastName-error']]
2022-05-15 16:05:692 INFO  LoginPage :57 - verifying email is required error message :[[ChromeDriver: chrome on WINDOWS (0c74c50e6ebfd5a7e5418dacaa392059)] -> xpath: //span[@id='Email-error']]
